Name,Region,Difficulty,Distance,HikeTime,Season
Homesite Caves Trail,Sunshine Coast,Easy,1.5,0.75,year-round
Homesite Creek Falls,Sunshine Coast,Easy,3,1.5,year-round
Hope Lookout Trail,Fraser Valley East,Intermediate,4.5,2.5,March - November
Iceberg Lake,Whistler,Intermediate,15,7,July - September
Iona Beach Regional Park,Vancouver City,Easy,6,1.5,year-round
Joffre Lakes,Pemberton,Intermediate,10,4,June - September
Jug Island Beach,Tri Cities,Intermediate,5.5,2.5,year-round
Kanaka Creek Cliff Falls,Ridge Meadows,Easy,4,2,year-round
Kanaka Creek Riverfront,Ridge Meadows,Easy,2.5,1,year-round
Killarney Lake,Howe Sound,Easy,9,2,year-round
Levette Lake Loop,Howe Sound,Intermediate,11,5,May - November
Lighthouse Park,The North Shore,Easy,6,2,year-round
Lindeman Lake,Fraser Valley East,Intermediate,3.4,2,May - October
Lions Bay Loop,Howe Sound,Easy,4.5,2,year-round
Little Goat Mountain,The North Shore,Easy,5.5,2.5,July - September
Lost Lake Nature Trail,Whistler,Easy,5,1.5,March -October
Lower Hollyburn,The North Shore,Intermediate,10,4.5,June - November
Lynn Loop,The North Shore,Easy,5.1,1.5,year-round
Lynn Peak,The North Shore,Intermediate,9,4,June - October
Maplewood Flats,The North Shore,Easy,2.5,0.75,year-round
Mike Lake,Ridge Meadows,Easy,2,0.75,year-round
Minnekhada Regional Park,Tri Cities,Easy,10,2.5,year-round
Mount Cheam,Fraser Valley East,Intermediate,9.5,4.5,July - October
Mount Daniel,Sunshine Coast,Intermediate,5,2.5,year-round
Mount Fromme,The North Shore,Intermediate,10,5,July - October
Mount Gardner,Howe Sound,Intermediate,17,7,year-round
Mount Seymour,The North Shore,Intermediate,9,5,July - October
Mount Strachan,The North Shore,Intermediate,10.5,5.5,July - October
Mount Thom,Fraser Valley East,Intermediate,10,2.5,year-round
Mundy Park,Tri Cities,Easy,6,2,year-round
Murrin Loop Trail,Howe Sound,Intermediate,2,1.5,February - October
Mystery Lake,The North Shore,Easy,3,1.25,July - October
Nairn Falls,Pemberton,Easy,3,1.5,year-round
Norvan Falls,The North Shore,Intermediate,14,5,year-round
Othello Tunnels,Fraser Valley East,Easy,3.5,1,May - October
Pacific Spirit Regional Park,Vancouver City,Easy,10,3,year-round
Panorama Ridge,Whistler,Difficult,30,11,July - October
Pender Hill,Sunshine Coast,Intermediate,2,1.25,year-round
Petgill Lake,Howe Sound,Intermediate,11.5,6,March - October
Pitt River Regional Greenway,Ridge Meadows,Easy,17.2,5,year-round
Pitt Wildlife Loop,Ridge Meadows,Easy,15,4,year-round
Porpoise Bay,Sunshine Coast,Easy,1,0.5,year-round
Quarry Rock,The North Shore,Easy,3.8,1.5,year-round
Rainbow Lake,Whistler,Intermediate,16,6,July - September
Reifel Bird Sanctuary,Tsawwassen and Delta,Easy,5,1,year-round
Rice Lake,The North Shore,Easy,3,1,year-round
Rolley Lake,Fraser Valley East,Easy,5,2,year-round
Sargeant Bay,Sunshine Coast,Easy,0.8,0.25,year-round
Sasamat Lake,Tri Cities,Easy,8,3,year-round
Sea To Summit Trail,Howe Sound,Intermediate,7.5,3.5,March - November
Sendero Diez Vistas,Tri Cities,Intermediate,15,6,April - November
Serpentine Fen Nature Trail,Surrey and Langley,Easy,3.5,1.5,year-round
Seven Sisters Trail,Fraser Valley East,Easy,3,1,year-round
Shadow Lake,Pemberton,Easy,5,2,June - October
Shoreline Trail,Tri Cities,Easy,6,2,year-round
Skookumchuck Narrows,Sunshine Coast,Easy,8,2,year-round
Skyline Trail,The North Shore,Intermediate,5,3,April - November
Skywalk North Loop,Whistler,Difficult,19.5,9,July - September
Slesse Memorial Trail,Fraser Valley East,Intermediate,12,6,July - October
Smoke Bluffs Park,Howe Sound,Easy,3.5,1.5,February - November
Smuggler Cove Marine Provincial Park,Sunshine Coast,Easy,4,1.5,year-round
Soames Hill,Sunshine Coast,Intermediate,2,1,year-round
St Mark's Summit,The North Shore,Intermediate,11,5,July - October
Stanley Park,Vancouver City,Easy,6.5,2,year-round
Stawamus Chief,Howe Sound,Intermediate,11,6,March - November
Sumas Mountain,Fraser Valley East,Intermediate,13.5,6.5,May - November
Swan Falls Viewpoint,Tri Cities,Intermediate,10,3.5,year-round
Teapot Hill,Fraser Valley East,Easy,5,2,year-round
The Lions Binkert Trail,Howe Sound,Difficult,16,8,July - October
Three Brothers Mountain,Manning Provincial Park,Intermediate,21.5,7,July - September
Thunderbird Ridge,The North Shore,Easy,6,2.5,July - September
Triangle Lake,Sunshine Coast,Easy,8,3,year-round
Tunnel Bluffs,Howe Sound,Intermediate,8,4.5,May - November
Twin Falls,The North Shore,Easy,1.5,1,year-round
Two Canyon Loop,The North Shore,Intermediate,8,3,February - November
Tynehead Regional Park,Surrey and Langley,Easy,4.5,1.5,year-round
UBC Malcolm Knapp Research Forest,Ridge Meadows,Intermediate,8,3,February - November
Vedder Ridge Trail,Fraser Valley East,Intermediate,9,3.5,May - October
Vedder River Rotary Trail,Fraser Valley East,Easy,16,4,year-round
Velodrome Trail,Vancouver City,Intermediate,3,1,year-round
Watersprite Lake,Howe Sound,Intermediate,17,7,July - September
Wedgemount Lake,Whistler,Difficult,12,7,July - September
Whippoorwill Point Trail,Fraser Valley East,Easy,4,1.5,year-round
Whistler Train Wreck,Whistler,Easy,2,1,May - November
Whyte Lake,The North Shore,Easy,5,2,year-round
Whytecliff Park,The North Shore,Easy,2,1.5,year-round
Widgeon Falls,Ridge Meadows,Easy,6,5,year-round
Woodland Walk Trail,Tri Cities,Easy,8,3,year-round
